2025-05-17 03:36:47,338 - INFO - Max recompute ratio candidate: convolution_93, ratio: 1023979592.2434582
2025-05-17 03:36:47,370 - INFO - Max recompute ratio candidate: relu__48, ratio: 1023979592.2434582
2025-05-17 03:36:47,401 - INFO - Max recompute ratio candidate: convolution_81, ratio: 1023979592.2434582
2025-05-17 03:36:47,433 - INFO - Max recompute ratio candidate: convolution_105, ratio: 1023979592.2434582
2025-05-17 03:36:47,464 - INFO - Max recompute ratio candidate: convolution_75, ratio: 1023979592.2434582
2025-05-17 03:36:47,495 - INFO - Max recompute ratio candidate: relu__123, ratio: 1023979592.2434582
2025-05-17 03:36:47,526 - INFO - Max recompute ratio candidate: convolution_144, ratio: 1023979592.2434582
2025-05-17 03:36:47,556 - INFO - Max recompute ratio candidate: relu__34, ratio: 1023979592.2434582
2025-05-17 03:36:47,585 - INFO - Max recompute ratio candidate: relu__87, ratio: 1023979592.2434582
2025-05-17 03:36:47,616 - INFO - Max recompute ratio candidate: convolution_60, ratio: 1023979592.2434582
2025-05-17 03:36:47,646 - INFO - Max recompute ratio candidate: convolution_114, ratio: 1023979592.2434582
2025-05-17 03:36:47,676 - INFO - Max recompute ratio candidate: relu__39, ratio: 1023979592.2434582
2025-05-17 03:36:47,706 - INFO - Max recompute ratio candidate: relu__42, ratio: 1023979592.2434582
2025-05-17 03:36:47,737 - INFO - Max recompute ratio candidate: convolution_1, ratio: 1023979592.2434582
2025-05-17 03:36:47,767 - INFO - Max recompute ratio candidate: convolution_123, ratio: 1023979592.2434582
2025-05-17 03:36:47,797 - INFO - Max recompute ratio candidate: relu__120, ratio: 1023979592.2434582
2025-05-17 03:36:47,828 - INFO - Max recompute ratio candidate: convolution_129, ratio: 1023979592.2434582
2025-05-17 03:36:47,858 - INFO - Max recompute ratio candidate: relu__135, ratio: 1023979592.2434582
2025-05-17 03:36:47,888 - INFO - Max recompute ratio candidate: relu__93, ratio: 1023979592.2434582
2025-05-17 03:36:47,919 - INFO - Max recompute ratio candidate: relu__78, ratio: 1023979592.2434582
2025-05-17 03:36:47,951 - INFO - Max recompute ratio candidate: relu__117, ratio: 1023979592.2434582
2025-05-17 03:36:47,981 - INFO - Max recompute ratio candidate: convolution_117, ratio: 1023979592.2434582
2025-05-17 03:36:48,010 - INFO - Max recompute ratio candidate: relu__36, ratio: 1023979592.2434582
2025-05-17 03:36:48,042 - INFO - Max recompute ratio candidate: relu__45, ratio: 1023979592.2434582
2025-05-17 03:36:48,073 - INFO - Max recompute ratio candidate: convolution_38, ratio: 1023979592.2434582
2025-05-17 03:36:48,104 - INFO - Max recompute ratio candidate: relu__25, ratio: 1023959185.3003308
2025-05-17 03:36:48,135 - INFO - Max recompute ratio candidate: convolution_22, ratio: 1023959185.3003308
2025-05-17 03:36:48,166 - INFO - Max recompute ratio candidate: convolution_25, ratio: 1023959185.3003308
2025-05-17 03:36:48,198 - INFO - Max recompute ratio candidate: convolution_145, ratio: 1023959185.3003308
2025-05-17 03:36:48,230 - INFO - Max recompute ratio candidate: convolution_28, ratio: 1023959185.3003308
2025-05-17 03:36:48,260 - INFO - Max recompute ratio candidate: convolution_18, ratio: 1023959185.3003308
2025-05-17 03:36:48,291 - INFO - Max recompute ratio candidate: convolution_27, ratio: 1023959185.3003308
2025-05-17 03:36:48,321 - INFO - Max recompute ratio candidate: convolution_151, ratio: 1023959185.3003308
2025-05-17 03:36:48,352 - INFO - Max recompute ratio candidate: convolution_148, ratio: 1023959185.3003308
2025-05-17 03:36:48,382 - INFO - Max recompute ratio candidate: relu__19, ratio: 1023959185.3003308
2025-05-17 03:36:48,414 - INFO - Max recompute ratio candidate: convolution_154, ratio: 1023959185.3003308
