activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem_200,CHECKPOINT,1024,1e-06,2748,4520
relu__46,CHECKPOINT,802816,0.000784,2750,4516
convolution_50,CHECKPOINT,802816,0.000784,2751,4512
getitem_203,CHECKPOINT,1024,1e-06,2755,4512
getitem_204,CHECKPOINT,1024,1e-06,2756,4512
relu__47,CHECKPOINT,802816,0.000784,2758,4508
convolution_51,CHECKPOINT,3211264,0.003136,2759,4504
getitem_207,CHECKPOINT,4096,4e-06,2763,4504
getitem_208,CHECKPOINT,4096,4e-06,2764,4504
relu__48,CHECKPOINT,3211264,0.003136,2767,4499
convolution_52,CHECKPOINT,802816,0.000784,2768,4495
getitem_211,CHECKPOINT,1024,1e-06,2772,4495
getitem_212,CHECKPOINT,1024,1e-06,2773,4495
relu__49,CHECKPOINT,802816,0.000784,2775,4491
convolution_53,CHECKPOINT,802816,0.000784,2776,4487
getitem_215,CHECKPOINT,1024,1e-06,2780,4487
getitem_216,CHECKPOINT,1024,1e-06,2781,4487
relu__50,CHECKPOINT,802816,0.000784,2783,4483
convolution_54,CHECKPOINT,3211264,0.003136,2784,4479
getitem_219,CHECKPOINT,4096,4e-06,2788,4479
getitem_220,CHECKPOINT,4096,4e-06,2789,4479
relu__51,CHECKPOINT,3211264,0.003136,2792,4474
convolution_55,CHECKPOINT,802816,0.000784,2793,4470
getitem_223,CHECKPOINT,1024,1e-06,2797,4470
getitem_224,CHECKPOINT,1024,1e-06,2798,4470
relu__52,CHECKPOINT,802816,0.000784,2800,4466
convolution_56,CHECKPOINT,802816,0.000784,2801,4462
getitem_227,CHECKPOINT,1024,1e-06,2805,4462
getitem_228,CHECKPOINT,1024,1e-06,2806,4462
relu__53,CHECKPOINT,802816,0.000784,2808,4458
convolution_57,CHECKPOINT,3211264,0.003136,2809,4454
getitem_231,CHECKPOINT,4096,4e-06,2813,4454
getitem_232,CHECKPOINT,4096,4e-06,2814,4454
relu__54,RECOMPUTE,3211264,0.003136,2817,4449
convolution_58,CHECKPOINT,802816,0.000784,2818,4445
getitem_235,CHECKPOINT,1024,1e-06,2822,4445
getitem_236,CHECKPOINT,1024,1e-06,2823,4445
relu__55,CHECKPOINT,802816,0.000784,2825,4441
convolution_59,CHECKPOINT,802816,0.000784,2826,4437
getitem_239,CHECKPOINT,1024,1e-06,2830,4437
getitem_240,CHECKPOINT,1024,1e-06,2831,4437
relu__56,CHECKPOINT,802816,0.000784,2833,4433
convolution_60,CHECKPOINT,3211264,0.003136,2834,4429
getitem_243,CHECKPOINT,4096,4e-06,2838,4429
getitem_244,CHECKPOINT,4096,4e-06,2839,4429
relu__57,CHECKPOINT,3211264,0.003136,2842,4424
convolution_61,CHECKPOINT,802816,0.000784,2843,4420
getitem_247,CHECKPOINT,1024,1e-06,2847,4420
getitem_248,CHECKPOINT,1024,1e-06,2848,4420
relu__58,CHECKPOINT,802816,0.000784,2850,4416
convolution_62,CHECKPOINT,802816,0.000784,2851,4412
getitem_251,CHECKPOINT,1024,1e-06,2855,4412
getitem_252,CHECKPOINT,1024,1e-06,2856,4412
relu__59,CHECKPOINT,802816,0.000784,2858,4408
convolution_63,CHECKPOINT,3211264,0.003136,2859,4404
getitem_255,CHECKPOINT,4096,4e-06,2863,4404
getitem_256,CHECKPOINT,4096,4e-06,2864,4404
relu__60,RECOMPUTE,3211264,0.003136,2867,4399
convolution_64,CHECKPOINT,802816,0.000784,2868,4395
getitem_259,CHECKPOINT,1024,1e-06,2872,4395
getitem_260,CHECKPOINT,1024,1e-06,2873,4395
relu__61,CHECKPOINT,802816,0.000784,2875,4391
convolution_65,CHECKPOINT,802816,0.000784,2876,4387
getitem_263,CHECKPOINT,1024,1e-06,2880,4387
getitem_264,CHECKPOINT,1024,1e-06,2881,4387
relu__62,CHECKPOINT,802816,0.000784,2883,4383
convolution_66,CHECKPOINT,3211264,0.003136,2884,4379
getitem_267,CHECKPOINT,4096,4e-06,2888,4379
getitem_268,CHECKPOINT,4096,4e-06,2889,4379
