activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
getitem_267,2888,-1,4379,4379,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_268,2889,-1,4379,4379,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_269,2890,-1,4379,4379,0,0.0,0.0,1e-06,0,0.1
relu__63,2892,2916,4374,4378,51380224,0.30898086465615715,0.0,0.050176,51380224,50176.0
convolution_67,2893,2895,4370,4370,12845056,0.31296729668322887,0.0,0.012544,12845056,12544.0
getitem_271,2897,-1,4370,4370,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_272,2898,-1,4370,4370,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_273,2899,-1,4370,4370,0,0.0,0.0,1e-06,0,0.1
relu__64,2900,2901,4366,4369,12845056,0.30945785670820564,0.0,0.012544,12845056,12544.0
convolution_68,2901,2903,4362,4362,12845056,0.3089377286909143,0.0,0.012544,12845056,12544.0
getitem_275,2905,-1,4362,4362,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_276,2906,-1,4362,4362,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_277,2907,-1,4362,4362,0,0.0,0.0,1e-06,0,0.1
relu__65,2908,2909,4358,4361,12845056,0.3065455367146055,0.0,0.012544,12845056,12544.0
convolution_69,2909,2911,4354,4354,51380224,0.3055644807079802,0.0,0.050176,51380224,50176.0
getitem_279,2913,-1,4354,4354,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_280,2914,-1,4354,4354,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_281,2915,-1,4354,4354,0,0.0,0.0,1e-06,0,0.1
relu__66,2917,2941,4349,4353,51380224,0.29751296070311184,0.0,0.050176,51380224,50176.0
convolution_70,2918,2920,4345,4345,12845056,0.3014685766687612,0.0,0.012544,12845056,12544.0
getitem_283,2922,-1,4345,4345,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_284,2923,-1,4345,4345,1024,0.0,0.0,1e-06,1024,0.10087890625000001
