activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,avg_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
getitem_168,2681,-1,4587,4587,1024,0.0,0.0,0.0,1024,0.0
getitem_169,2682,-1,4587,4587,0,0.0,0.0,0.0,0,0.0
relu__38,2683,2684,4583,4586,3211264,0.38926336074434265,0.0,0.0006471679881215096,3211264,inf
convolution_42,2684,2686,4579,4579,12845056,0.38810524874180596,0.0,0.0009010879844427108,12845056,inf
getitem_171,2688,-1,4579,4579,4096,0.0,0.0,0.0,4096,0.0
getitem_172,2689,-1,4579,4579,4096,0.0,0.0,0.0,4096,0.0
getitem_173,2690,-1,4579,4579,0,0.0,0.0,0.0,0,0.0
relu__39,2692,2716,4574,4578,12845056,0.38146249669604043,0.0,0.003847231999039651,12845056,inf
convolution_43,2693,2695,4570,4570,3211264,0.38419254471547937,0.0,0.0007526399791240693,3211264,inf
getitem_175,2697,-1,4570,4570,1024,0.0,0.0,0.0,1024,0.0
getitem_176,2698,-1,4570,4570,1024,0.0,0.0,0.0,1024,0.0
getitem_177,2699,-1,4570,4570,0,0.0,0.0,0.0,0,0.0
relu__40,2700,2701,4566,4569,3211264,0.3810754887331281,0.0,0.0012574719861149788,3211264,inf
convolution_44,2701,2703,4562,4562,3211264,0.380452896723524,0.0,0.0013711359947919846,3211264,inf
getitem_179,2705,-1,4562,4562,1024,0.0,0.0,0.0,1024,0.0
getitem_180,2706,-1,4562,4562,1024,0.0,0.0,0.0,1024,0.0
getitem_181,2707,-1,4562,4562,0,0.0,0.0,0.0,0,0.0
relu__41,2708,2709,4558,4561,3211264,0.3787878726962957,0.0,0.0006307840272784232,3211264,inf
convolution_45,2709,2711,4554,4554,12845056,0.37757744067348575,0.0,0.0008479360342025756,12845056,inf
getitem_183,2713,-1,4554,4554,4096,0.0,0.0,0.0,4096,0.0
getitem_184,2714,-1,4554,4554,4096,0.0,0.0,0.0,4096,0.0
getitem_185,2715,-1,4554,4554,0,0.0,0.0,0.0,0,0.0
relu__42,2717,2741,4549,4553,12845056,0.3711354567259553,0.0,0.003969023944810033,12845056,inf
convolution_46,2718,2720,4545,4545,3211264,0.37403235266543955,0.0,0.0007782400026917457,3211264,inf
getitem_187,2722,-1,4545,4545,1024,0.0,0.0,0.0,1024,0.0
getitem_188,2723,-1,4545,4545,1024,0.0,0.0,0.0,1024,0.0
getitem_189,2724,-1,4545,4545,0,0.0,0.0,0.0,0,0.0
relu__43,2725,2726,4541,4544,3211264,0.3710904006976637,0.0,0.0011991039514541626,3211264,inf
convolution_47,2726,2728,4537,4537,3211264,0.3705835206899794,0.0,0.0013250559493899346,3211264,inf
getitem_191,2730,-1,4537,4537,1024,0.0,0.0,0.0,1024,0.0
getitem_192,2731,-1,4537,4537,1024,0.0,0.0,0.0,1024,0.0
getitem_193,2732,-1,4537,4537,0,0.0,0.0,0.0,0,0.0
relu__44,2733,2734,4533,4536,3211264,0.3687290567066522,0.0,0.0009359360039234161,3211264,inf
convolution_48,2734,2736,4529,4529,12845056,0.3675965127069505,0.0,0.0011366400048136711,12845056,inf
getitem_195,2738,-1,4529,4529,4096,0.0,0.0,0.0,4096,0.0
getitem_196,2739,-1,4529,4529,4096,0.0,0.0,0.0,4096,0.0
getitem_197,2740,-1,4529,4529,0,0.0,0.0,0.0,0,0.0
relu__45,2742,2766,4524,4528,12845056,0.3610674887187781,0.0,0.004034560054540633,12845056,inf
convolution_49,2743,2745,4520,4520,3211264,0.36383331276103886,0.0,0.0008529920130968093,3211264,inf
getitem_199,2747,-1,4520,4520,1024,0.0,0.0,0.0,1024,0.0
getitem_200,2748,-1,4520,4520,1024,0.0,0.0,0.0,1024,0.0
getitem_201,2749,-1,4520,4520,0,0.0,0.0,0.0,0,0.0
relu__46,2750,2751,4516,4519,3211264,0.36066710474342134,0.0,0.0012595200166106222,3211264,inf
convolution_50,2751,2753,4512,4512,3211264,0.3600107207372787,0.0,0.0014325760155916212,3211264,inf
getitem_203,2755,-1,4512,4512,1024,0.0,0.0,0.0,1024,0.0
getitem_204,2756,-1,4512,4512,1024,0.0,0.0,0.0,1024,0.0
getitem_205,2757,-1,4512,4512,0,0.0,0.0,0.0,0,0.0
relu__47,2758,2759,4508,4511,3211264,0.35834569673426475,0.0,0.0005908480212092399,3211264,inf
convolution_51,2759,2761,4504,4504,12845056,0.3571476167682561,0.0,0.000773120015859604,12845056,inf
getitem_207,2763,-1,4504,4504,4096,0.0,0.0,0.0,4096,0.0
getitem_208,2764,-1,4504,4504,4096,0.0,0.0,0.0,4096,0.0
getitem_209,2765,-1,4504,4504,0,0.0,0.0,0.0,0,0.0
relu__48,2767,2791,4499,4503,12845056,0.35140192072279774,0.0,0.003275808030739427,12845056,inf
convolution_52,2768,2770,4495,4495,3211264,0.35359129675850304,0.0,0.0007229119911789894,3211264,inf
getitem_211,2772,-1,4495,4495,1024,0.0,0.0,0.0,1024,0.0
getitem_212,2773,-1,4495,4495,1024,0.0,0.0,0.0,1024,0.0
getitem_213,2774,-1,4495,4495,0,0.0,0.0,0.0,0,0.0
relu__49,2775,2776,4491,4494,3211264,0.35057139268145004,0.0,0.0011868160553276537,3211264,inf
convolution_53,2776,2778,4487,4487,3211264,0.34993344067782206,0.0,0.001288192056119442,3211264,inf
getitem_215,2780,-1,4487,4487,1024,0.0,0.0,0.0,1024,0.0
getitem_216,2781,-1,4487,4487,1024,0.0,0.0,0.0,1024,0.0
getitem_217,2782,-1,4487,4487,0,0.0,0.0,0.0,0,0.0
relu__50,2783,2784,4483,4486,3211264,0.3484108166918163,0.0,0.0006030719876289367,3211264,inf
convolution_54,2784,2786,4479,4479,12845056,0.3472567686587576,0.0,0.0007894399911165238,12845056,inf
getitem_219,2788,-1,4479,4479,4096,0.0,0.0,0.0,4096,0.0
getitem_220,2789,-1,4479,4479,4096,0.0,0.0,0.0,4096,0.0
getitem_221,2790,-1,4479,4479,0,0.0,0.0,0.0,0,0.0
relu__51,2792,2816,4474,4478,12845056,0.3414896006248894,0.0,0.003221503982320428,12845056,inf
convolution_55,2793,2795,4470,4470,3211264,0.34365116862393946,0.0,0.0006912959888577461,3211264,inf
getitem_223,2797,-1,4470,4470,1024,0.0,0.0,0.0,1024,0.0
getitem_224,2798,-1,4470,4470,1024,0.0,0.0,0.0,1024,0.0
getitem_225,2799,-1,4470,4470,0,0.0,0.0,0.0,0,0.0
relu__52,2800,2801,4466,4469,3211264,0.3406907846480611,0.0,0.0011929600052535535,3211264,inf
convolution_56,2801,2803,4462,4462,3211264,0.3401368006393316,0.0,0.001298432007431984,3211264,inf
getitem_227,2805,-1,4462,4462,1024,0.0,0.0,0.0,1024,0.0
getitem_228,2806,-1,4462,4462,1024,0.0,0.0,0.0,1024,0.0
